Epoch: 297, Loss A: 0.09618441, loss B: 0.0650591
Epoch: 298, Loss A: 0.08423588, loss B: 0.064064845
Epoch: 299, Loss A: 0.08572753, loss B: 0.06394163
Epoch: 300, Loss A: 0.09046675, loss B: 0.067955375
Epoch: 301, Loss A: 0.08304112, loss B: 0.06049109
Epoch: 302, Loss A: 0.098267764, loss B: 0.06942494
Epoch: 303, Loss A: 0.092492774, loss B: 0.063566074
Epoch: 304, Loss A: 0.08969383, loss B: 0.0633225
Epoch: 305, Loss A: 0.08980757, loss B: 0.064214155
Epoch: 306, Loss A: 0.10968971, loss B: 0.06085682
Epoch: 307, Loss A: 0.088762015, loss B: 0.06351468
Epoch: 308, Loss A: 0.09145284, loss B: 0.063027784
Epoch: 309, Loss A: 0.089555085, loss B: 0.06461418
Epoch: 310, Loss A: 0.085245006, loss B: 0.06584634
Epoch: 311, Loss A: 0.09498554, loss B: 0.06416378
Epoch: 312, Loss A: 0.09134798, loss B: 0.06473149
Epoch: 313, Loss A: 0.087258115, loss B: 0.06196548
Epoch: 314, Loss A: 0.08417626, loss B: 0.060870934
Epoch: 315, Loss A: 0.0917658, loss B: 0.06497525
Epoch: 316, Loss A: 0.086093456, loss B: 0.06772539
Epoch: 317, Loss A: 0.088813, loss B: 0.06461181
Epoch: 318, Loss A: 0.08867639, loss B: 0.065676495
Epoch: 319, Loss A: 0.09083916, loss B: 0.064818874
Epoch: 320, Loss A: 0.087620825, loss B: 0.06427716
Epoch: 321, Loss A: 0.090731174, loss B: 0.05989575
Epoch: 322, Loss A: 0.0936004, loss B: 0.063674204
Epoch: 323, Loss A: 0.08372867, loss B: 0.060789883
Epoch: 324, Loss A: 0.08916572, loss B: 0.06476459
Epoch: 325, Loss A: 0.08801115, loss B: 0.063837476
Epoch: 326, Loss A: 0.084481105, loss B: 0.06232601
Epoch: 327, Loss A: 0.078640416, loss B: 0.05959385
Epoch: 328, Loss A: 0.08749387, loss B: 0.06053368
Epoch: 329, Loss A: 0.0848539, loss B: 0.06320477
Epoch: 330, Loss A: 0.092097014, loss B: 0.06107496
Epoch: 331, Loss A: 0.08693506, loss B: 0.0664917
Epoch: 332, Loss A: 0.0876316, loss B: 0.06565421
Epoch: 333, Loss A: 0.09282007, loss B: 0.06382669
Epoch: 334, Loss A: 0.08929867, loss B: 0.063684545
Epoch: 335, Loss A: 0.092365205, loss B: 0.061833676
Epoch: 336, Loss A: 0.09320438, loss B: 0.06297606
Epoch: 337, Loss A: 0.088651024, loss B: 0.061785378
Epoch: 338, Loss A: 0.092243634, loss B: 0.064354904
Epoch: 339, Loss A: 0.09039732, loss B: 0.065458044
Epoch: 340, Loss A: 0.0847754, loss B: 0.059920475
Epoch: 341, Loss A: 0.083125316, loss B: 0.06554502
Epoch: 342, Loss A: 0.0921243, loss B: 0.062876225
Epoch: 343, Loss A: 0.082940266, loss B: 0.059568357
Epoch: 344, Loss A: 0.08379042, loss B: 0.0623293
Epoch: 345, Loss A: 0.09240493, loss B: 0.061603904
Epoch: 346, Loss A: 0.09415064, loss B: 0.06291128
Epoch: 347, Loss A: 0.08496721, loss B: 0.061326973
Epoch: 348, Loss A: 0.08075571, loss B: 0.06266904
Epoch: 349, Loss A: 0.093618065, loss B: 0.059826776
Epoch: 350, Loss A: 0.097077444, loss B: 0.0578433
Epoch: 351, Loss A: 0.09191086, loss B: 0.06098721
Epoch: 352, Loss A: 0.08718424, loss B: 0.06196846
Epoch: 353, Loss A: 0.096694484, loss B: 0.06727938
Epoch: 354, Loss A: 0.089375935, loss B: 0.067127645
Epoch: 355, Loss A: 0.08794684, loss B: 0.061367575
Epoch: 356, Loss A: 0.08772403, loss B: 0.06270548
Epoch: 357, Loss A: 0.0808022, loss B: 0.06437556
Epoch: 358, Loss A: 0.09953691, loss B: 0.06043023
Epoch: 359, Loss A: 0.08867752, loss B: 0.059964363
Epoch: 360, Loss A: 0.09001593, loss B: 0.060284372
Epoch: 361, Loss A: 0.08290036, loss B: 0.06186285
Epoch: 362, Loss A: 0.083509855, loss B: 0.064460106
Epoch: 363, Loss A: 0.08669095, loss B: 0.059950113
Epoch: 364, Loss A: 0.08317466, loss B: 0.05936992
Epoch: 365, Loss A: 0.09284636, loss B: 0.06426337
Epoch: 366, Loss A: 0.07965343, loss B: 0.062107135
Epoch: 367, Loss A: 0.08774349, loss B: 0.060683385
Epoch: 368, Loss A: 0.086967885, loss B: 0.06556293
Epoch: 369, Loss A: 0.0858603, loss B: 0.06466552
Epoch: 370, Loss A: 0.08635722, loss B: 0.059627105
Epoch: 371, Loss A: 0.08175218, loss B: 0.061073467
Epoch: 372, Loss A: 0.0831067, loss B: 0.06462009
Epoch: 373, Loss A: 0.08313456, loss B: 0.059200674
Epoch: 374, Loss A: 0.07849202, loss B: 0.05821644
Epoch: 375, Loss A: 0.084714085, loss B: 0.057807513
Epoch: 376, Loss A: 0.08722073, loss B: 0.06254038
Epoch: 377, Loss A: 0.08903694, loss B: 0.05947991
Epoch: 378, Loss A: 0.07756357, loss B: 0.05767531
Epoch: 379, Loss A: 0.08681153, loss B: 0.060236238
Epoch: 380, Loss A: 0.0887394, loss B: 0.057174694
Epoch: 381, Loss A: 0.08672701, loss B: 0.060638614
Epoch: 382, Loss A: 0.07905123, loss B: 0.06111151
Epoch: 383, Loss A: 0.07640675, loss B: 0.062825784
Epoch: 384, Loss A: 0.084017135, loss B: 0.063267976
Epoch: 385, Loss A: 0.08355941, loss B: 0.06197989
